,coefficient,p_value,conf_int_low,conf_int_high
Intercept,640511.1260000004,4.882156643307415e-09,511095.45198118227,769926.8000188185
treated,294548.88249999983,0.009892304824565367,79937.26614431717,509160.4988556825
post,-83644.94233333346,0.368468258079202,-274139.6565481401,106849.77188147319
did,34198.90823333329,0.8124488533224044,-264206.4347001966,332604.25116686313
